ORTHOMCL1	ENSDARG00000034095_ZEBRA
ORTHOMCL2	ENSDARG00000043805_ZEBRA
ORTHOMCL4	ENSDARG00000003909_ZEBRA
ORTHOMCL11	ENSDARG00000007067_ZEBRA
ORTHOMCL13	ENSDARG00000003209_ZEBRA
ORTHOMCL18	ENSDARG00000002046_ZEBRA
ORTHOMCL25	ENSDARG00000069211_ZEBRA
ORTHOMCL45	ENSDARG00000025505_ZEBRA
ORTHOMCL66	ENSDARG00000052733_ZEBRA
ORTHOMCL87	ENSDARG00000022905_ZEBRA
ORTHOMCL91	ENSDARG00000056266_ZEBRA
ORTHOMCL96	ENSDARG00000054252_ZEBRA
ORTHOMCL100	ENSDARG00000044875_ZEBRA
ORTHOMCL108	ENSDARG00000020738_ZEBRA
ORTHOMCL163	ENSDARG00000032975_ZEBRA
ORTHOMCL300	ENSDARG00000043303_ZEBRA
ORTHOMCL303	ENSDARG00000088337_ZEBRA
ORTHOMCL373	ENSDARG00000056277_ZEBRA
ORTHOMCL376	ENSDARG00000076948_ZEBRA
ORTHOMCL394	ENSDARG00000032826_ZEBRA
ORTHOMCL421	ENSDARG00000087676_ZEBRA
ORTHOMCL434	ENSDARG00000033542_ZEBRA
ORTHOMCL463	ENSDARG00000030025_ZEBRA
ORTHOMCL508	ENSDARG00000001470_ZEBRA
ORTHOMCL534	ENSDARG00000032285_ZEBRA
ORTHOMCL544	ENSDARG00000070604_ZEBRA
ORTHOMCL546	ENSDARG00000056449_ZEBRA
ORTHOMCL557	ENSDARG00000011581_ZEBRA
ORTHOMCL597	ENSDARG00000027399_ZEBRA
ORTHOMCL600	ENSDARG00000038681_ZEBRA
ORTHOMCL643	ENSDARG00000078748_ZEBRA
ORTHOMCL656	ENSDARG00000006501_ZEBRA
ORTHOMCL657	ENSDARG00000007787_ZEBRA
ORTHOMCL668	ENSDARG00000020812_ZEBRA
ORTHOMCL749	ENSDARG00000018327_ZEBRA
ORTHOMCL751	ENSDARG00000018521_ZEBRA
ORTHOMCL765	ENSDARG00000039888_ZEBRA
ORTHOMCL784	ENSDARG00000042683_ZEBRA
ORTHOMCL822	ENSDARG00000016448_ZEBRA
ORTHOMCL873	ENSDARG00000009874_ZEBRA
ORTHOMCL896	ENSDARG00000023189_ZEBRA
ORTHOMCL919	ENSDARG00000071135_ZEBRA
ORTHOMCL922	ENSDARG00000074538_ZEBRA
ORTHOMCL925	ENSDARG00000094385_ZEBRA
ORTHOMCL941	ENSDARG00000009822_ZEBRA
ORTHOMCL959	ENSDARG00000025658_ZEBRA
ORTHOMCL966	ENSDARG00000041399_ZEBRA
ORTHOMCL979	ENSDARG00000068637_ZEBRA
ORTHOMCL1006	ENSDARG00000012395_ZEBRA
ORTHOMCL1007	ENSDARG00000012513_ZEBRA
ORTHOMCL1020	ENSDARG00000022761_ZEBRA
ORTHOMCL1075	ENSDARG00000038232_ZEBRA
ORTHOMCL1138	ENSDARG00000068740_ZEBRA
ORTHOMCL1145	ENSDARG00000086025_ZEBRA
ORTHOMCL1150	ENSDARG00000003902_ZEBRA
ORTHOMCL1202	ENSDARG00000087002_ZEBRA
ORTHOMCL1211	ENSDARG00000090758_ZEBRA
ORTHOMCL1230	ENSDARG00000006568_ZEBRA
ORTHOMCL1262	ENSDARG00000031776_ZEBRA
ORTHOMCL1272	ENSDARG00000039099_ZEBRA
ORTHOMCL1301	ENSDARG00000070312_ZEBRA
ORTHOMCL1317	ENSDARG00000088608_ZEBRA
ORTHOMCL1319	ENSDARG00000007582_ZEBRA
ORTHOMCL1347	ENSDARG00000005627_ZEBRA
ORTHOMCL1354	ENSDARG00000007602_ZEBRA
ORTHOMCL1422	ENSDARG00000042880_ZEBRA
ORTHOMCL1425	ENSDARG00000045921_ZEBRA
ORTHOMCL1456	ENSDARG00000068861_ZEBRA
ORTHOMCL1457	ENSDARG00000068863_ZEBRA
ORTHOMCL1462	ENSDARG00000070126_ZEBRA
ORTHOMCL1464	ENSDARG00000075718_ZEBRA
ORTHOMCL1480	ENSDARG00000036749_ZEBRA
ORTHOMCL1557	ENSDARG00000027699_ZEBRA
ORTHOMCL1583	ENSDARG00000041466_ZEBRA
ORTHOMCL1626	ENSDARG00000076144_ZEBRA
ORTHOMCL1627	ENSDARG00000076336_ZEBRA
ORTHOMCL1640	ENSDARG00000089797_ZEBRA
ORTHOMCL1644	ENSDARG00000086849_ZEBRA
ORTHOMCL1716	ENSDARG00000018361_ZEBRA
ORTHOMCL1747	ENSDARG00000033413_ZEBRA
ORTHOMCL1768	ENSDARG00000041454_ZEBRA
ORTHOMCL1783	ENSDARG00000056075_ZEBRA
ORTHOMCL1809	ENSDARG00000063580_ZEBRA
ORTHOMCL1816	ENSDARG00000073718_ZEBRA
ORTHOMCL1838	ENSDARG00000079305_ZEBRA
ORTHOMCL1859	ENSDARG00000019294_ZEBRA
ORTHOMCL1875	ENSDARG00000004498_ZEBRA
ORTHOMCL1911	ENSDARG00000012968_ZEBRA
ORTHOMCL1993	ENSDARG00000036414_ZEBRA
ORTHOMCL2019	ENSDARG00000053345_ZEBRA
ORTHOMCL2028	ENSDARG00000055644_ZEBRA
ORTHOMCL2033	ENSDARG00000057262_ZEBRA
ORTHOMCL2040	ENSDARG00000060545_ZEBRA
ORTHOMCL2061	ENSDARG00000068667_ZEBRA
ORTHOMCL2074	ENSDARG00000074780_ZEBRA
ORTHOMCL2078	ENSDARG00000075391_ZEBRA
ORTHOMCL2080	ENSDARG00000075622_ZEBRA
ORTHOMCL2098	ENSDARG00000086374_ZEBRA
ORTHOMCL2099	ENSDARG00000086932_ZEBRA
ORTHOMCL2122	ENSDARG00000038530_ZEBRA
ORTHOMCL2126	ENSDARG00000040250_ZEBRA
ORTHOMCL2168	ENSDARG00000010231_ZEBRA
ORTHOMCL2196	ENSDARG00000018587_ZEBRA
ORTHOMCL2197	ENSDARG00000018980_ZEBRA
ORTHOMCL2211	ENSDARG00000023479_ZEBRA
ORTHOMCL2227	ENSDARG00000031161_ZEBRA
ORTHOMCL2260	ENSDARG00000040669_ZEBRA
ORTHOMCL2274	ENSDARG00000042947_ZEBRA
ORTHOMCL2291	ENSDARG00000056395_ZEBRA
ORTHOMCL2297	ENSDARG00000057984_ZEBRA
ORTHOMCL2322	ENSDARG00000068735_ZEBRA
ORTHOMCL2329	ENSDARG00000073820_ZEBRA
ORTHOMCL2330	ENSDARG00000074117_ZEBRA
ORTHOMCL2336	ENSDARG00000077404_ZEBRA
ORTHOMCL2352	ENSDARG00000096248_ZEBRA
ORTHOMCL2403	ENSDARG00000011083_ZEBRA
ORTHOMCL2404	ENSDARG00000011088_ZEBRA
ORTHOMCL2413	ENSDARG00000013134_ZEBRA
ORTHOMCL2415	ENSDARG00000013749_ZEBRA
ORTHOMCL2426	ENSDARG00000015732_ZEBRA
