ORTHOMCL0	NP_001001411.2_HUMAN
ORTHOMCL3	NP_001171809.1_HUMAN
ORTHOMCL5	NP_001171536.1_HUMAN
ORTHOMCL6	NP_001035.1_HUMAN
ORTHOMCL8	NP_001092909.1_HUMAN
ORTHOMCL9	NP_001035203.1_HUMAN
ORTHOMCL10	NP_000330.2_HUMAN
ORTHOMCL14	NP_001073932.1_HUMAN
ORTHOMCL15	NP_001307265.1_HUMAN
ORTHOMCL16	NP_001787.2_HUMAN
ORTHOMCL17	NP_001005464.1_HUMAN
ORTHOMCL19	NP_001008781.2_HUMAN
ORTHOMCL20	NP_000820.3_HUMAN
ORTHOMCL21	NP_001071131.1_HUMAN
ORTHOMCL22	NP_001156729.1_HUMAN
ORTHOMCL23	NP_000383.1_HUMAN
ORTHOMCL24	NP_000060.2_HUMAN
ORTHOMCL26	NP_000229.1_HUMAN
ORTHOMCL27	NP_000830.2_HUMAN
ORTHOMCL28	XP_016856150.1_HUMAN
ORTHOMCL29	NP_000333.1_HUMAN
ORTHOMCL30	NP_001073936.1_HUMAN
ORTHOMCL31	NP_001254479.2_HUMAN
ORTHOMCL33	NP_001276990.1_HUMAN
ORTHOMCL34	XP_005271726.1_HUMAN
ORTHOMCL35	NP_001238774.1_HUMAN
ORTHOMCL37	NP_004406.2_HUMAN
ORTHOMCL38	NP_055431.1_HUMAN
ORTHOMCL39	NP_001267487.1_HUMAN
ORTHOMCL40	NP_000208.2_HUMAN
ORTHOMCL41	NP_001106.1_HUMAN
ORTHOMCL42	NP_741983.2_HUMAN
ORTHOMCL43	NP_001180440.1_HUMAN
ORTHOMCL44	NP_000365.3_HUMAN
ORTHOMCL46	NP_001005356.1_HUMAN
ORTHOMCL49	NP_001060.1_HUMAN
ORTHOMCL50	NP_001074248.1_HUMAN
ORTHOMCL51	NP_001303258.1_HUMAN
ORTHOMCL52	NP_001290043.1_HUMAN
ORTHOMCL53	NP_001029249.1_HUMAN
ORTHOMCL54	NP_001161707.1_HUMAN
ORTHOMCL55	NP_000518.1_HUMAN
ORTHOMCL56	NP_006283.1_HUMAN
ORTHOMCL57	NP_001284579.1_HUMAN
ORTHOMCL58	NP_001762.2_HUMAN
ORTHOMCL59	NP_000325.4_HUMAN
ORTHOMCL60	NP_001310284.1_HUMAN
ORTHOMCL61	NP_001191732.1_HUMAN
ORTHOMCL62	NP_002325.2_HUMAN
ORTHOMCL63	NP_056308.3_HUMAN
ORTHOMCL64	NP_001973.2_HUMAN
ORTHOMCL65	NP_000341.2_HUMAN
ORTHOMCL67	NP_001269633.1_HUMAN
ORTHOMCL68	NP_001188309.2_HUMAN
ORTHOMCL69	NP_000061.1_HUMAN
ORTHOMCL71	NP_000334.1_HUMAN
ORTHOMCL72	NP_000086.2_HUMAN
ORTHOMCL73	NP_055889.2_HUMAN
ORTHOMCL74	NP_001834.2_HUMAN
ORTHOMCL75	NP_000734.2_HUMAN
ORTHOMCL76	XP_011518931.1_HUMAN
ORTHOMCL77	NP_000163.2_HUMAN
ORTHOMCL78	NP_065913.1_HUMAN
ORTHOMCL79	NP_004220.2_HUMAN
ORTHOMCL80	NP_078817.2_HUMAN
ORTHOMCL81	NP_000414.2_HUMAN
ORTHOMCL82	NP_000692.2_HUMAN
ORTHOMCL83	NP_002146.2_HUMAN
ORTHOMCL84	NP_000531.2_HUMAN
ORTHOMCL85	NP_001139334.1_HUMAN
ORTHOMCL86	NP_001122390.2_HUMAN
ORTHOMCL88	NP_000168.1_HUMAN
ORTHOMCL89	NP_000203.2_HUMAN
ORTHOMCL90	NP_001304063.1_HUMAN
ORTHOMCL92	NP_000543.2_HUMAN
ORTHOMCL93	NP_008823.1_HUMAN
ORTHOMCL94	NP_000799.1_HUMAN
ORTHOMCL95	NP_001243333.1_HUMAN
ORTHOMCL97	XP_016878264.1_HUMAN
ORTHOMCL99	NP_001349.2_HUMAN
ORTHOMCL101	NP_000055.2_HUMAN
ORTHOMCL102	XP_005261039.1_HUMAN
ORTHOMCL103	NP_848555.2_HUMAN
ORTHOMCL104	XP_005245411.1_HUMAN
ORTHOMCL105	NP_001158243.1_HUMAN
ORTHOMCL106	NP_116755.1_HUMAN
ORTHOMCL107	NP_000480.3_HUMAN
ORTHOMCL109	NP_001006666.1_HUMAN
ORTHOMCL110	NP_001094861.1_HUMAN
