ORTHOMCL7	ENSMUSP00000064211_MOUSE
ORTHOMCL12	ENSMUSP00000094477_MOUSE
ORTHOMCL32	ENSMUSP00000020547_MOUSE
ORTHOMCL36	ENSMUSP00000100102_MOUSE
ORTHOMCL47	ENSMUSP00000055372_MOUSE
ORTHOMCL48	ENSMUSP00000080496_MOUSE
ORTHOMCL70	ENSMUSP00000089301_MOUSE
ORTHOMCL98	ENSMUSP00000100344_MOUSE
ORTHOMCL117	ENSMUSP00000026957_MOUSE
ORTHOMCL190	ENSMUSP00000100348_MOUSE
ORTHOMCL320	ENSMUSP00000033458_MOUSE
ORTHOMCL391	ENSMUSP00000019833_MOUSE
ORTHOMCL545	ENSMUSP00000041597_MOUSE
ORTHOMCL573	ENSMUSP00000058480_MOUSE
ORTHOMCL645	ENSMUSP00000049020_MOUSE
ORTHOMCL741	ENSMUSP00000036996_MOUSE
ORTHOMCL766	ENSMUSP00000087524_MOUSE
ORTHOMCL926	ENSMUSP00000067190_MOUSE
ORTHOMCL982	ENSMUSP00000100133_MOUSE
ORTHOMCL1204	ENSMUSP00000003597_MOUSE
ORTHOMCL1222	ENSMUSP00000061272_MOUSE
ORTHOMCL1279	ENSMUSP00000050389_MOUSE
ORTHOMCL1310	ENSMUSP00000073667_MOUSE
ORTHOMCL1311	ENSMUSP00000100624_MOUSE
ORTHOMCL1343	ENSMUSP00000073884_MOUSE
ORTHOMCL1424	ENSMUSP00000032709_MOUSE
ORTHOMCL1450	ENSMUSP00000030011_MOUSE
ORTHOMCL1474	ENSMUSP00000100079_MOUSE
ORTHOMCL1632	ENSMUSP00000055273_MOUSE
ORTHOMCL1841	ENSMUSP00000093548_MOUSE
ORTHOMCL1900	ENSMUSP00000033827_MOUSE
ORTHOMCL2113	ENSMUSP00000073605_MOUSE
ORTHOMCL2115	ENSMUSP00000126056_MOUSE
ORTHOMCL2121	ENSMUSP00000100224_MOUSE
ORTHOMCL2355	ENSMUSP00000051510_MOUSE
ORTHOMCL2356	ENSMUSP00000055454_MOUSE
ORTHOMCL2357	ENSMUSP00000061674_MOUSE
ORTHOMCL2535	ENSMUSP00000116757_MOUSE
ORTHOMCL2587	ENSMUSP00000039040_MOUSE
ORTHOMCL2590	ENSMUSP00000071284_MOUSE
ORTHOMCL2591	ENSMUSP00000074610_MOUSE
ORTHOMCL2592	ENSMUSP00000097377_MOUSE
ORTHOMCL2612	ENSMUSP00000081903_MOUSE
ORTHOMCL2693	ENSMUSP00000079407_MOUSE
ORTHOMCL2741	ENSMUSP00000077813_MOUSE
ORTHOMCL2752	ENSMUSP00000009689_MOUSE
ORTHOMCL2808	ENSMUSP00000012847_MOUSE
ORTHOMCL2810	ENSMUSP00000026956_MOUSE
ORTHOMCL2813	ENSMUSP00000077768_MOUSE
ORTHOMCL2816	ENSMUSP00000092585_MOUSE
ORTHOMCL2818	ENSMUSP00000096633_MOUSE
ORTHOMCL2819	ENSMUSP00000098740_MOUSE
ORTHOMCL2820	ENSMUSP00000116532_MOUSE
ORTHOMCL2821	ENSMUSP00000126627_MOUSE
ORTHOMCL2947	ENSMUSP00000022501_MOUSE
ORTHOMCL3000	ENSMUSP00000100099_MOUSE
ORTHOMCL3015	ENSMUSP00000053925_MOUSE
ORTHOMCL3034	ENSMUSP00000052074_MOUSE
ORTHOMCL3211	ENSMUSP00000041750_MOUSE
ORTHOMCL3311	ENSMUSP00000023931_MOUSE
ORTHOMCL3312	ENSMUSP00000031549_MOUSE
ORTHOMCL3315	ENSMUSP00000054536_MOUSE
ORTHOMCL3318	ENSMUSP00000070758_MOUSE
ORTHOMCL3456	ENSMUSP00000033643_MOUSE
ORTHOMCL3572	ENSMUSP00000112644_MOUSE
ORTHOMCL4126	ENSMUSP00000014476_MOUSE
ORTHOMCL4128	ENSMUSP00000031501_MOUSE
ORTHOMCL4130	ENSMUSP00000051931_MOUSE
ORTHOMCL4133	ENSMUSP00000056181_MOUSE
ORTHOMCL4138	ENSMUSP00000100367_MOUSE
ORTHOMCL4139	ENSMUSP00000125924_MOUSE
ORTHOMCL4271	ENSMUSP00000022522_MOUSE
ORTHOMCL4333	ENSMUSP00000075018_MOUSE
ORTHOMCL4623	ENSMUSP00000020550_MOUSE
ORTHOMCL5340	ENSMUSP00000073261_MOUSE
ORTHOMCL5905	ENSMUSP00000124394_MOUSE
ORTHOMCL6768	ENSMUSP00000024755_MOUSE
ORTHOMCL7246	ENSMUSP00000049930_MOUSE
ORTHOMCL7247	ENSMUSP00000051938_MOUSE
ORTHOMCL7250	ENSMUSP00000063685_MOUSE
ORTHOMCL7252	ENSMUSP00000066714_MOUSE
ORTHOMCL7254	ENSMUSP00000076020_MOUSE
ORTHOMCL7256	ENSMUSP00000079468_MOUSE
ORTHOMCL7259	ENSMUSP00000096306_MOUSE
ORTHOMCL7260	ENSMUSP00000099118_MOUSE
ORTHOMCL7261	ENSMUSP00000100337_MOUSE
ORTHOMCL7384	ENSMUSP00000025064_MOUSE
ORTHOMCL7405	ENSMUSP00000021406_MOUSE
ORTHOMCL7428	ENSMUSP00000022060_MOUSE
ORTHOMCL7523	ENSMUSP00000124762_MOUSE
ORTHOMCL7525	ENSMUSP00000096932_MOUSE
ORTHOMCL7551	ENSMUSP00000031977_MOUSE
ORTHOMCL7559	ENSMUSP00000033477_MOUSE
ORTHOMCL7590	ENSMUSP00000099717_MOUSE
ORTHOMCL7785	ENSMUSP00000113145_MOUSE
ORTHOMCL7834	ENSMUSP00000020957_MOUSE
ORTHOMCL7965	ENSMUSP00000068906_MOUSE
ORTHOMCL8037	ENSMUSP00000103709_MOUSE
ORTHOMCL8076	ENSMUSP00000021822_MOUSE
ORTHOMCL8100	ENSMUSP00000095882_MOUSE
ORTHOMCL8345	ENSMUSP00000065825_MOUSE
ORTHOMCL8369	ENSMUSP00000113468_MOUSE
ORTHOMCL8403	ENSMUSP00000129375_MOUSE
ORTHOMCL8447	ENSMUSP00000000193_MOUSE
