ORTHOMCL420	2077725)]_AMEIU(
ORTHOMCL506	14816081))]_AMEIU(
ORTHOMCL724	augustus-utg000263l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL927	lcl|VCAZ01000021.1_cds_TSK82106.1_5903_BAGAR(
ORTHOMCL1089	1377463)]_AMEIU(
ORTHOMCL1206	augustus-utg000062l_pilon-processed-gene-0.3-mRNA-1_PANGA(
ORTHOMCL1207	lcl|CM022754.1_cds_KAF4091501.1_3183_AMEIU(
ORTHOMCL1312	augustus-utg000273l_pilon-processed-gene-0.1-mRNA-1_PANGA(
ORTHOMCL1313	augustus-utg000377l_pilon-processed-gene-0.17-mRNA-1_PANGA(
ORTHOMCL1314	rna-XM_027134061.1_TACHY(
ORTHOMCL1475	augustus-utg000022l_pilon-processed-gene-6.7-mRNA-1_PANGA(
ORTHOMCL1636	lcl|CM022756.1_cds_KAF4088622.1_4678_AMEIU(
ORTHOMCL1637	lcl|CM022768.1_cds_KAF4077979.1_15923_AMEIU(
ORTHOMCL1638	rna-XM_017490188.1_ICTAL(
ORTHOMCL1641	22880349)]_AMEIU(
ORTHOMCL1844	augustus-utg000012l_pilon-processed-gene-2.9-mRNA-1_PANGA(
ORTHOMCL1845	augustus-utg000926l_pilon-processed-gene-0.10-mRNA-1_PANGA(
ORTHOMCL1846	lcl|CM022753.1_cds_KAF4092156.1_1448_AMEIU(
ORTHOMCL1847	lcl|CM022777.1_cds_KAF4071825.1_22403_AMEIU(
ORTHOMCL1848	lcl|CM022779.1_cds_KAF4071114.1_23588_AMEIU(
ORTHOMCL1852	12504585))]_AMEIU(
ORTHOMCL1858	33366234)]_AMEIU(
ORTHOMCL2118	lcl|VCAZ01000004.1_cds_TSK18012.1_11939_BAGAR(
ORTHOMCL2361	augustus-utg000312l_pilon-processed-gene-1.5-mRNA-1_PANGA(
ORTHOMCL2367	45607590]_AMEIU(
ORTHOMCL2370	9469288)]_AMEIU(
ORTHOMCL2594	augustus-utg000080l_pilon-processed-gene-2.4-mRNA-1_PANGA(
ORTHOMCL2595	augustus-utg000979l_pilon-processed-gene-0.34-mRNA-1_PANGA(
ORTHOMCL2596	lcl|CM022754.1_cds_KAF4091090.1_2786_AMEIU(
ORTHOMCL2597	lcl|CM022754.1_cds_KAF4091856.1_3506_AMEIU(
ORTHOMCL2598	lcl|CM022756.1_cds_KAF4088672.1_4728_AMEIU(
ORTHOMCL2599	lcl|CM022760.1_cds_KAF4084715.1_9169_AMEIU(
ORTHOMCL2600	lcl|CM022769.1_cds_KAF4077045.1_16773_AMEIU(
ORTHOMCL2601	lcl|CM022773.1_cds_KAF4074632.1_20129_AMEIU(
ORTHOMCL2602	lcl|CM022773.1_cds_KAF4074833.1_20302_AMEIU(
ORTHOMCL2823	augustus-utg000065l_pilon-processed-gene-2.8-mRNA-1_PANGA(
